Episode;Votes
19;39643
29;86759
32;45860
36;42269
38;45935
9;38665
40;37976
48;87059
49;38099
52;42207
55;63527
59;185033
60;128642
61;46297
62;39903
63;41611
64;78989
65;39682
6;57960
67;57484
68;121831
2;119961
3;200283
4;152769
5;177957
6;220581
